player,team,color,date,rating
donk,Spirit,#ef476f,2024-07-08,1.3086
donk,Spirit,#ef476f,2024-07-15,1.3024
donk,Spirit,#ef476f,2024-07-22,1.3050
donk,Spirit,#ef476f,2024-07-29,1.2880
donk,Spirit,#ef476f,2024-08-05,1.2891
donk,Spirit,#ef476f,2024-08-12,1.2744
donk,Spirit,#ef476f,2024-08-19,1.2813
donk,Spirit,#ef476f,2024-08-26,1.2890
donk,Spirit,#ef476f,2024-09-02,1.2900
donk,Spirit,#ef476f,2024-09-09,1.2933
donk,Spirit,#ef476f,2024-09-16,1.2942
donk,Spirit,#ef476f,2024-09-23,1.2985
donk,Spirit,#ef476f,2024-09-30,1.3080
donk,Spirit,#ef476f,2024-10-07,1.3063
donk,Spirit,#ef476f,2024-10-14,1.3094
donk,Spirit,#ef476f,2024-10-21,1.3113
donk,Spirit,#ef476f,2024-10-28,1.3186
donk,Spirit,#ef476f,2024-11-04,1.3121
donk,Spirit,#ef476f,2024-11-11,1.3174
donk,Spirit,#ef476f,2024-11-18,1.3176
donk,Spirit,#ef476f,2024-11-25,1.3094
donk,Spirit,#ef476f,2024-12-02,1.3268
donk,Spirit,#ef476f,2024-12-09,1.3297
donk,Spirit,#ef476f,2024-12-16,1.3428
donk,Spirit,#ef476f,2024-12-23,1.3421
donk,Spirit,#ef476f,2024-12-30,1.3410
donk,Spirit,#ef476f,2025-01-06,1.3451
donk,Spirit,#ef476f,2025-01-13,1.3444
donk,Spirit,#ef476f,2025-01-20,1.3407
donk,Spirit,#ef476f,2025-01-27,1.3383
donk,Spirit,#ef476f,2025-02-03,1.3431
donk,Spirit,#ef476f,2025-02-10,1.3457
donk,Spirit,#ef476f,2025-02-17,1.3525
donk,Spirit,#ef476f,2025-02-24,1.3666
donk,Spirit,#ef476f,2025-03-03,1.3399
donk,Spirit,#ef476f,2025-03-10,1.3486
donk,Spirit,#ef476f,2025-03-17,1.3329
donk,Spirit,#ef476f,2025-03-24,1.3355
donk,Spirit,#ef476f,2025-03-31,1.3414
donk,Spirit,#ef476f,2025-04-07,1.3495
donk,Spirit,#ef476f,2025-04-14,1.3448
donk,Spirit,#ef476f,2025-04-21,1.3453
donk,Spirit,#ef476f,2025-04-28,1.3451
donk,Spirit,#ef476f,2025-05-05,1.3335
donk,Spirit,#ef476f,2025-05-12,1.3265
donk,Spirit,#ef476f,2025-05-19,1.3182
donk,Spirit,#ef476f,2025-05-26,1.3123
donk,Spirit,#ef476f,2025-06-02,1.3012
donk,Spirit,#ef476f,2025-06-09,1.2825
donk,Spirit,#ef476f,2025-06-16,1.2888
donk,Spirit,#ef476f,2025-06-23,1.2818
donk,Spirit,#ef476f,2025-06-30,1.2615
donk,Spirit,#ef476f,2025-07-07,1.2502
donk,Spirit,#ef476f,2025-07-14,1.2491
donk,Spirit,#ef476f,2025-07-21,1.2618
donk,Spirit,#ef476f,2025-07-28,1.2662
donk,Spirit,#ef476f,2025-08-04,1.2801
